wind_farm_name,LAT,LON,area,country,commissioning_year,installed_capacity_MW,turbine_model,foundation_type,water_depth_m,distance_from_shore_km,total_project_budget,turbine_costs,foundation_costs,array_cable_costs,export_cable_costs,offshore_substation_costs,offshore_installation_costs,OPEX_per_MWh,inflation_rate,capacity_factor,WACC,discount_rate,project_lifetime_years,foundation_scope,mean_wind_speed_mps,mean_wave_height_m,total_project_budget_eur,total_project_budget_eur_indexed,data_quality_flag
Sofia,54.9794,2.2301,593.0,UK,2027.0,1400.0,Siemens Gamesa SG 14-222 DD,Monopile,28.5,195.0,EUR 3 billion,,,,,,,,,,,,25.0,Unknown,9.633046722312335,9.0,3000000000.0,3000000000.0,recent
Hywind Scotland,57.49809316673302,-1.6930264003753728,15.0,UK,2017.0,30.0,Siemens SWT-6.0-154,Floating spar buoy,107.5,29.0,GBP 264 million,,,,,,,,,0.571,,,25.0,Unknown,9.514400056059719,9.0,308346456.0,368502558.12662643,indexed_9y
Kincardine,57.0046,-1.8596,110.0,UK,2021.0,50.0,MHI Vestas V164-9.525 MW / Vestas V80-2.0 MW,Floating semi-submersible,70.0,15.0,GBP 350 million,,,,,,,,,,,,25.0,Unknown,8.947472681016725,9.0,389308499.99999994,389308499.99999994,recent
alpha ventus,54.0112,6.6078,4.0,Germany,2010.0,60.0,Senvion 5M / Adwen AD 5-116,Jacket / Tripod,30.0,52.5,EUR 250 million,,,,,,,,,0.42-0.55,,,15.0,Unknown,9.658556771433727,9.0,250000000.0,343196426.2726531,indexed_16y
EnBW Baltic 1,54.6139,12.6667,7.0,Germany,2011.0,48.3,Siemens SWT-2.3-93,Monopile,17.5,16.0,EUR 150 million,,,,,,,,,,,,25.0,Unknown,9.465006406260613,9.0,150000000.0,201880250.7486195,indexed_15y
BARD Offshore 1,54.3583,5.975,59.0,Germany,2013.0,400.0,BARD 5.0,Tripile,40.0,100.0,EUR 2.9 billion,,,,,,,,,,,,25.0,Unknown,9.964751201788552,9.0,2900000000.0,3751459228.31601,indexed_13y
Meerwind Sued Ost,54.38,7.68,43.0,Germany,2014.0,288.0,Siemens SWT-3.6-120,Monopile,24.0,23.0,EUR 1.2 billion,,,,,,,,,,,,25.0,Unknown,9.890145142826434,9.0,1200000000.0,1521890153.4750545,indexed_12y
Nordsee Ost,54.43,7.68,36.0,Germany,2015.0,295.0,Senvion 6.2M126,Jacket,25.0,60.0,EUR 1.2 billion,,,,,,,,,,,,25.0,Unknown,9.848422238187892,9.0,1200000000.0,1492049170.073583,indexed_11y
DanTysk,55.14,7.2,70.0,Germany,2015.0,288.0,Siemens SWT-3.6-120,Monopile,26.5,70.0,EUR 1 billion,,,,,,,,,,,,25.0,Unknown,9.554961885147991,9.0,1000000000.0,1243374308.3946524,indexed_11y
Butendiek,55.0136,7.7687,33.0,Germany,2015.0,288.0,Siemens SWT-3.6-120,Monopile,19.5,32.0,EUR 1.3 billion,,,,,,,,,,,,25.0,Unknown,9.503553967408719,9.0,1300000000.0,1616386600.9130483,indexed_11y
Amrumbank West,54.5227,7.7048,32.0,Germany,2015.0,302.0,Siemens SWT-3.6-120,Monopile,22.5,35.0,EUR 1 billion,,,,,,,,,,,,25.0,Unknown,9.74787501022407,9.0,1000000000.0,1243374308.3946524,indexed_11y
Borkum Riffgrund 1,53.966944,6.553889,36.0,Germany,2015.0,312.0,Siemens SWT-4.0-120,Monopile,26.0,37.0,EUR 1.25 billion,,,,,,,,,,,,25.0,Unknown,9.67604593916436,9.0,1250000000.0,1554217885.4933155,indexed_11y
Trianel Windpark Borkum I,54.0417,6.4667,56.0,Germany,2015.0,200.0,AREVA M5000,Tripod,30.0,45.0,EUR 900 million,,,,,,,,,,,,25.0,Unknown,9.706684398872437,9.0,900000000.0,1119036877.5551872,indexed_11y
EnBW Baltic 2,54.9733,13.1778,27.0,Germany,2015.0,288.0,Siemens SWT-3.6-120,Monopile / Jacket,33.5,32.0,EUR 1.25 billion,,,,,,,,,,,,25.0,Unknown,9.554683639502171,9.0,1250000000.0,1554217885.4933155,indexed_11y
Global Tech I,54.5,6.3583,41.0,Germany,2015.0,400.0,AREVA M5000,Tripod,39.5,115.0,EUR 1.6 billion,,,,,,,,,,,,25.0,Unknown,9.844224475646854,9.0,1600000000.0,1989398893.431444,indexed_11y
Gode Wind 1,54.05,7.03,42.0,Germany,2017.0,332.0,Siemens SWT-6.0-154,Monopile,30.5,33.0,EUR 2.2 billion (combined 1+2),,,,,,,,,,,,25.0,Unknown,9.68577529564754,9.0,1733333333.3333335,2071493785.612006,indexed_9y
Gode Wind 2,54.05,7.03,42.0,Germany,2017.0,252.0,Siemens SWT-6.0-154,Monopile,30.5,33.0,EUR 2.2 billion (combined 1+2),,,,,,,,,,,,25.0,Unknown,9.68577529564754,9.0,1733333333.3333335,2071493785.612006,indexed_9y
Nordergruende,53.835,8.168,6.0,Germany,2017.0,110.7,Senvion 6.2M126,Monopile,10.0,15.0,EUR 410 million,,,,,,,,,,,,25.0,Unknown,9.574531664135803,9.0,410000000.0,489987953.1351475,indexed_9y
Sandbank,55.18,6.85,60.0,Germany,2017.0,288.0,Siemens SWT-4.0-130,Monopile,28.5,90.0,EUR 1.2 billion,,,,,,,,,,,,25.0,Unknown,9.65794392301423,9.0,1200000000.0,1434111082.3467734,indexed_9y
Nordsee One,53.979,6.814,41.3,Germany,2017.0,332.0,Senvion 6.2M126,Monopile,27.5,45.0,EUR 1.2 billion,,,,,,,,,,,,25.0,Unknown,9.630783111977244,9.0,1200000000.0,1434111082.3467734,indexed_9y
Wikinger,54.834,14.068,50.0,Germany,2018.0,350.0,Adwen AD 5-135,Jacket,,35.0,EUR 1.4 billion,,,,,,,,,,,,25.0,Unknown,9.232911449627261,9.0,1400000000.0,1640323133.403172,indexed_8y
Arkona,54.782,14.121,39.0,Germany,2019.0,385.0,Siemens Gamesa SWT-6.0-154,Monopile,,35.0,EUR 1.2 billion,,,,,,,,,,,,25.0,Unknown,9.215475347932164,9.0,1200000000.0,1378422801.179136,indexed_7y
Borkum Riffgrund 2,54.966667,6.495556,36.0,Germany,2019.0,450.0,MHI Vestas V164-8.0,Suction Bucket Jacket / Monopile,30.0,54.0,EUR 2.3 billion,,,,,,,,,,,,25.0,Unknown,9.85285226494992,9.0,2300000000.0,2641977035.593344,indexed_7y
Merkur,54.033333,6.55,47.0,Germany,2019.0,396.0,GE Haliade 150-6MW,Monopile,30.0,45.0,EUR 1.6 billion,,,,,,,,,,,,25.0,Unknown,9.666268062994101,9.0,1600000000.0,1837897068.238848,indexed_7y
