wind_farm_name,LAT,LON,area_sqkm,country,commissioning_year,installed_capacity_MW,turbine_producer,turbine_power_MW,foundation_type,oss_responsibility,offshore_cable,onshore_connection,model_type,water_depth_m,water_depth_min_m,water_depth_max_m,water_depth_mean_m,distance_from_shore_km,distance_from_shore_min_km,distance_from_shore_max_km,distance_from_shore_mean_km,distance_from_port_km,distance_from_construction_port_km,total_project_budget,total_project_budget_eur,total_project_budget_eur_indexed,project_lifetime_years,mean_wind_speed_mps,mean_wave_height_m,country_Belgium,country_Denmark,country_Finland,country_France,country_Germany,country_Ireland,country_Italy,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Sweden,country_UK,turbine_producer_Siemens,turbine_producer_Unknown,foundation_type_Floating,foundation_type_Floating TLP,foundation_type_Floating TetraSpar,foundation_type_Floating concrete spar buoy,foundation_type_Floating damping pool,foundation_type_Floating semi-submersible,foundation_type_Floating spar buoy,foundation_type_Gravity-based,foundation_type_Gravity-based / Jacket,foundation_type_Jacket,foundation_type_Jacket / Tripod,foundation_type_Monopile,foundation_type_Monopile / Jacket,foundation_type_Suction Bucket Jacket,foundation_type_Suction Bucket Jacket / Monopile,foundation_type_Tripile,foundation_type_Tripod,foundation_type_Tripod jacket,foundation_type_Tripod jacket with suction bucket,foundation_type_Unknown,oss_responsibility_Developer,oss_responsibility_OFTO,oss_responsibility_TSO,oss_responsibility_Unknown,offshore_cable_Developer,offshore_cable_OFTO,offshore_cable_TSO,offshore_cable_Unknown,onshore_connection_Developer,onshore_connection_Developer/TSO,onshore_connection_OFTO,onshore_connection_TSO,onshore_connection_Unknown,model_type_Developer-led,model_type_OFTO,model_type_TSO-led,model_type_Unknown,data_quality_flag
Sheringham Shoal,53.13,1.15,,UK,2012.0,317.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,16-22,16.0,22.0,19.0,17-23,17.0,23.0,20.0,,87.21097006684431,GBP 1 billion,1197175000.0,1656611690.5382,25.0,9.343575597478425,0.94,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2012
Greater Gabbard,51.933,1.883,,UK,2012.0,504.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,24-34,24.0,34.0,29.0,23,23.0,23.0,23.0,,75.95985556858325,GBP 1.5 billion,1795762500.0000002,2484917535.8073,25.0,9.128949792682848,1.48,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2012
Robin Rigg,54.75,-3.71,,UK,2010.0,174.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,5-18,5.0,18.0,11.5,9-11,9.0,11.0,10.0,,167.7837242076838,EUR 500 million,500000000.0,737053819.12336,25.0,9.154325133561093,0.44,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2010
Barrow,53.983,-3.283,,UK,2006.0,90.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,20,20.0,20.0,20.0,7,7.0,7.0,7.0,,75.81299999999999,GBP 100 million,145921500.0,238260230.61558992,25.0,8.860690986019133,0.86,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2006
Burbo Bank,53.483,-3.183,,UK,2007.0,90.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,6-13,6.0,13.0,9.5,6-7,6.0,7.0,6.5,,23.147958203694756,GBP 660 million,982873980.0,1567426382.0708318,25.0,8.647542355522324,0.62,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2007
Burbo Bank Extension,53.483,-3.183,,UK,2017.0,258.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,,,,,9,9.0,9.0,9.0,,23.147958203694756,GBP 1.32 billion,1541732280.0000002,1977212733.3451378,25.0,8.647542355522324,0.62,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2017
West of Duddon Sands,54.01,-3.52,,UK,2014.0,389.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,17-24,17.0,24.0,20.5,15,15.0,15.0,15.0,,83.0847419746852,GBP 1.6 billion,1919155200.0000002,2559034131.5934744,25.0,9.080094991778402,0.9,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2014
Ormonde,54.1,-3.4,,UK,2012.0,150.0,Unknown,,Jacket,OFTO,OFTO,OFTO,OFTO,21,21.0,21.0,21.0,10,10.0,10.0,10.0,,89.74464980710596,EUR 552 million,552000000.0,763839583.3333359,25.0,8.896446517321785,0.88,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2012
Lincs,53.183,0.483,,UK,2013.0,270.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,8-18,8.0,18.0,13.0,8,8.0,8.0,8.0,,104.9987366409713,GBP 1 billion,1225340000.0,1657598857.7732477,25.0,8.995110711592531,0.74,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2013
Lynn and Inner Dowsing,53.127,0.436,,UK,2009.0,194.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,6.3-16,6.3,16.0,11.15,5.2,5.2,5.2,5.2,,104.78110737532799,EUR 349 million,349000000.0,527287366.1264342,25.0,8.995578660277344,0.72,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2009
