wind_farm_name,LAT,LON,area,country,commissioning_year,installed_capacity_MW,turbine_model,foundation_type,water_depth_m,distance_from_shore_km,total_project_budget,turbine_costs,foundation_costs,array_cable_costs,export_cable_costs,offshore_substation_costs,offshore_installation_costs,OPEX_per_MWh,inflation_rate,capacity_factor,WACC,discount_rate,project_lifetime_years,foundation_scope,mean_wind_speed_mps,mean_wave_height_m,total_project_budget_eur,total_project_budget_eur_indexed,data_quality_flag,unit_capex_eur_per_mw,unit_capex_eur_per_mw_indexed,productivity_gross_mwh_per_mw,productivity_net_mwh_per_mw,annual_energy_mwh,opex_eur_per_mw,annual_opex_eur,crf,annual_capex_eur,annual_capex_eur_indexed,lcoe_eur_per_mwh,lcoe_eur_per_mwh_indexed
BARD Offshore 1,54.3583,5.975,59.0,Germany,2013.0,400.0,BARD 5.0,Tripile,40.0,100.0,EUR 2.9 billion,,,,,,,,,0.59,,,25.0,Unknown,9.964751201788552,9.0,2900000000.0,3751459228.31601,indexed_13y,9378648.070790024,9378648.070790024,5168.4,4393.139999999999,1757255.9999999998,80000.0,32000000.0,0.0858105172206656,248850499.93993023,321914656.71403587,159.82332678899957,201.4018769684303
Meerwind Sued Ost,54.38,7.68,43.0,Germany,2014.0,288.0,Siemens SWT-3.6-120,Monopile,24.0,23.0,EUR 1.2 billion,,,,,,,,,0.59,,,25.0,Unknown,9.890145142826434,9.0,1200000000.0,1521890153.4750545,indexed_12y,5284340.810677272,5284340.810677272,5168.4,4393.139999999999,1265224.3199999998,70000.0,20160000.0,0.0858105172206656,102972620.66479872,130594181.22273257,97.32078234537788,119.15213677107677
Nordsee Ost,54.43,7.68,36.0,Germany,2015.0,295.0,Senvion 6.2M126,Jacket,25.0,60.0,EUR 1.2 billion,,,,,,,,,0.59,,,25.0,Unknown,9.848422238187892,9.0,1200000000.0,1492049170.073583,indexed_11y,5057793.796859603,5057793.796859603,5168.4,4393.139999999999,1295976.2999999998,80000.0,23600000.0,0.0858105172206656,102972620.66479872,128033511.002679,97.66584517386525,117.00330554091074
DanTysk,55.14,7.2,70.0,Germany,2015.0,288.0,Siemens SWT-3.6-120,Monopile,26.5,70.0,EUR 1 billion,,,,,,,,,0.55,,,25.0,Unknown,9.554961885147991,9.0,1000000000.0,1243374308.3946524,indexed_11y,4317271.904148098,4317271.904148098,4818.0,4095.2999999999997,1179446.4,80000.0,23040000.0,0.0858105172206656,85810517.2206656,106694592.50223249,92.28949888749978,109.99617490225287
Butendiek,55.0136,7.7687,33.0,Germany,2015.0,288.0,Siemens SWT-3.6-120,Monopile,19.5,32.0,EUR 1.3 billion,,,,,,,,,0.55,,,25.0,Unknown,9.503553967408719,9.0,1300000000.0,1616386600.9130483,indexed_11y,5612453.475392529,5612453.475392529,4818.0,4095.2999999999997,1179446.4,70000.0,20160000.0,0.0858105172206656,111553672.38686527,138702970.25290227,111.67414847072769,134.69282728990675
Amrumbank West,54.5227,7.7048,32.0,Germany,2015.0,302.0,Siemens SWT-3.6-120,Monopile,22.5,35.0,EUR 1 billion,,,,,,,,,0.55,,,25.0,Unknown,9.74787501022407,9.0,1000000000.0,1243374308.3946524,indexed_11y,4117133.4715054715,4117133.4715054715,4818.0,4095.2999999999997,1236780.5999999999,70000.0,21140000.0,0.0858105172206656,85810517.2206656,106694592.50223249,86.47493114030542,103.36076786960639
Borkum Riffgrund 1,53.966944,6.553889,36.0,Germany,2015.0,312.0,Siemens SWT-4.0-120,Monopile,26.0,37.0,EUR 1.25 billion,,,,,,,,,0.55,,,25.0,Unknown,9.67604593916436,9.0,1250000000.0,1554217885.4933155,indexed_11y,4981467.581709345,4981467.581709345,4818.0,4095.2999999999997,1277733.5999999999,70000.0,21840000.0,0.0858105172206656,107263146.525832,133368240.62779061,101.04073848087897,121.47151849790178
Trianel Windpark Borkum I,54.0417,6.4667,56.0,Germany,2015.0,200.0,AREVA M5000,Tripod,30.0,45.0,EUR 900 million,,,,,,,,,0.55,,,25.0,Unknown,9.706684398872437,9.0,900000000.0,1119036877.5551872,indexed_11y,5595184.387775936,5595184.387775936,4818.0,4095.2999999999997,819060.0,70000.0,14000000.0,0.0858105172206656,77229465.49859904,96025133.25200926,111.38312882890025,134.3309809440203
EnBW Baltic 2,54.9733,13.1778,27.0,Germany,2015.0,288.0,Siemens SWT-3.6-120,Monopile / Jacket,33.5,32.0,EUR 1.25 billion,,,,,,,,,0.55,,,25.0,Unknown,9.554683639502171,9.0,1250000000.0,1554217885.4933155,indexed_11y,5396589.8801851235,5396589.8801851235,4818.0,4095.2999999999997,1179446.4,70000.0,20160000.0,0.0858105172206656,107263146.525832,133368240.62779061,108.03640294788471,130.1697479663261
Global Tech I,54.5,6.3583,41.0,Germany,2015.0,400.0,AREVA M5000,Tripod,39.5,115.0,EUR 1.6 billion,,,,,,,,,0.59,,,25.0,Unknown,9.844224475646854,9.0,1600000000.0,1989398893.431444,indexed_11y,4973497.23357861,4973497.23357861,5168.4,4393.139999999999,1757255.9999999998,90000.0,36000000.0,0.0858105172206656,137296827.55306497,170711348.00357202,98.61786077444891,117.633030135377
Gode Wind 1,54.05,7.03,42.0,Germany,2017.0,332.0,Siemens SWT-6.0-154,Monopile,30.5,33.0,EUR 2.2 billion (combined 1+2),,,,,,,,,0.55,,,25.0,Unknown,9.68577529564754,9.0,1733333333.3333335,2071493785.612006,indexed_9y,6239439.113289175,6239439.113289175,4818.0,4095.2999999999997,1359639.5999999999,70000.0,23240000.0,0.0858105172206656,148738229.84915373,177755953.16276082,126.48810011796783,147.83031706546416
Gode Wind 2,54.05,7.03,42.0,Germany,2017.0,252.0,Siemens SWT-6.0-154,Monopile,30.5,33.0,EUR 2.2 billion (combined 1+2),,,,,,,,,0.55,,,25.0,Unknown,9.68577529564754,9.0,1733333333.3333335,2071493785.612006,indexed_9y,8220213.434968278,8220213.434968278,4818.0,4095.2999999999997,1032015.6,70000.0,17640000.0,0.0858105172206656,148738229.84915373,177755953.16276082,161.21677797230365,189.3343018872591
Nordergruende,53.835,8.168,6.0,Germany,2017.0,110.7,Senvion 6.2M126,Monopile,10.0,15.0,EUR 410 million,,,,,,,,,0.55,,,25.0,Unknown,9.574531664135803,9.0,410000000.0,489987953.1351475,indexed_9y,4426268.7726752255,4426268.7726752255,4818.0,4095.2999999999997,453349.70999999996,70000.0,7749000.0,0.0858105172206656,35182312.0604729,42046119.69042227,94.69800269746042,109.83820788243644
Sandbank,55.18,6.85,60.0,Germany,2017.0,288.0,Siemens SWT-4.0-130,Monopile,28.5,90.0,EUR 1.2 billion,,,,,,,,,0.55,,,25.0,Unknown,9.65794392301423,9.0,1200000000.0,1434111082.3467734,indexed_9y,4979552.369259629,4979552.369259629,4818.0,4095.2999999999997,1179446.4,80000.0,23040000.0,0.0858105172206656,102972620.66479872,123061813.72806518,106.84048097887172,123.87321181196975
Nordsee One,53.979,6.814,41.3,Germany,2017.0,332.0,Senvion 6.2M126,Monopile,27.5,45.0,EUR 1.2 billion,,,,,,,,,0.55,,,25.0,Unknown,9.630783111977244,9.0,1200000000.0,1434111082.3467734,indexed_9y,4319611.693815582,4319611.693815582,4818.0,4095.2999999999997,1359639.5999999999,70000.0,23240000.0,0.0858105172206656,102972620.66479872,123061813.72806518,92.82799696684233,107.60337793049365
Wikinger,54.834,14.068,50.0,Germany,2018.0,350.0,Adwen AD 5-135,Jacket,,35.0,EUR 1.4 billion,,,,,,,,,0.5,,,25.0,Unknown,9.232911449627261,9.0,1400000000.0,1640323133.403172,indexed_8y,4686637.524009063,4686637.524009063,4380.0,3723.0,1303050.0,70000.0,24500000.0,0.0858105172206656,120134724.10893184,140756976.48634905,110.9970638954237,126.82320439457354
Arkona,54.782,14.121,39.0,Germany,2019.0,385.0,Siemens Gamesa SWT-6.0-154,Monopile,,35.0,EUR 1.2 billion,,,,,,,,,0.5,,,25.0,Unknown,9.215475347932164,9.0,1200000000.0,1378422801.179136,indexed_7y,3580318.964101652,3580318.964101652,4380.0,3723.0,1433355.0,70000.0,26950000.0,0.0858105172206656,102972620.66479872,118283173.51794037,90.64231866132167,101.32393825531035
Borkum Riffgrund 2,54.966667,6.495556,36.0,Germany,2019.0,450.0,MHI Vestas V164-8.0,Suction Bucket Jacket / Monopile,30.0,54.0,EUR 2.3 billion,,,,,,,,,0.59,,,25.0,Unknown,9.85285226494992,9.0,2300000000.0,2641977035.593344,indexed_7y,5871060.07909632,5871060.07909632,5168.4,4393.139999999999,1976912.9999999998,80000.0,36000000.0,0.0858105172206656,197364189.6075309,226709415.9093857,118.04474430970454,132.88870876431372
Merkur,54.033333,6.55,47.0,Germany,2019.0,396.0,GE Haliade 150-6MW,Monopile,30.0,45.0,EUR 1.6 billion,,,,,,,,,0.55,,,25.0,Unknown,9.666268062994101,9.0,1600000000.0,1837897068.238848,indexed_7y,4641154.212724363,4641154.212724363,4818.0,4095.2999999999997,1621738.7999999998,70000.0,27720000.0,0.0858105172206656,137296827.55306497,157710898.02392048,101.75302431751956,114.3407915158227
Deutsche Bucht,54.305,5.799,22.6,Germany,2020.0,269.0,MHI Vestas V164-8.4 MW,Monopile,40.0,100.0,EUR 1.4 billion,,,,,,,,,0.59,,,25.0,Unknown,9.82264562714046,9.0,1400000000.0,1576627386.9696002,indexed_6y,5861068.353046841,5861068.353046841,5168.4,4393.139999999999,1181754.66,80000.0,21520000.0,0.0858105172206656,120134724.10893184,135291211.54012787,119.8681324505476,132.69354194053093
Trianel Windpark Borkum II,54.0417,6.4667,56.0,Germany,2020.0,200.0,Senvion 6.2M152,Monopile,30.0,45.0,EUR 800 million,,,,,,,,,0.55,,,25.0,Unknown,9.706684398872437,9.0,800000000.0,900929935.4112,indexed_6y,4504649.677056001,4504649.677056001,4818.0,4095.2999999999997,819060.0,70000.0,14000000.0,0.0858105172206656,68648413.77653249,77309263.73721592,100.90642172311246,111.48055543820468
Kaskasi,54.485,7.45,17.0,Germany,2022.0,342.0,Siemens Gamesa SG 8.0-167 DD,Monopile,,35.0,EUR 800 million,,,,,,,,,0.59,,,25.0,Unknown,9.986889920581255,9.0,800000000.0,800000000.0,recent,2339181.2865497074,2339181.2865497074,5168.4,4393.139999999999,1502453.88,70000.0,23940000.0,0.0858105172206656,68648413.77653249,68648413.77653249,61.62479594816747,61.62479594816747
Baltic Eagle,54.832,13.84,40.0,Germany,2024.0,476.0,Vestas V174-9.5 MW,Monopile,43.0,30.0,EUR 1.6 billion,,,,,,,,,0.5,,,25.0,Unknown,9.239589166894412,9.0,1600000000.0,1600000000.0,recent,3361344.537815126,3361344.537815126,4380.0,3723.0,1772148.0,70000.0,33320000.0,0.0858105172206656,137296827.55306497,137296827.55306497,96.27685021401427,96.27685021401427
Gode Wind 3,53.865,7.151,18.0,Germany,2025.0,253.0,Siemens Gamesa SG 11.0-200 DD,Monopile,,32.0,EUR 946 million,,,,,,,,,0.55,,,25.0,Unknown,9.726675965499371,9.0,946000000.0,946000000.0,recent,3739130.434782609,3739130.434782609,4818.0,4095.2999999999997,1036110.8999999999,70000.0,17710000.0,0.0858105172206656,81176749.29074965,81176749.29074965,95.44031366791882,95.44031366791882
Borkum Riffgrund 3,54.015,6.435,75.0,Germany,2026.0,913.0,Siemens Gamesa SG 11.0-200 DD,Monopile,31.0,110.0,EUR 2.4 billion,,,,,,,,,0.59,,,25.0,Unknown,9.755411350391304,9.0,2400000000.0,2400000000.0,recent,2628696.604600219,2628696.604600219,5168.4,4393.139999999999,4010936.8199999994,90000.0,82170000.0,0.0858105172206656,205945241.32959744,205945241.32959744,71.83240580927364,71.83240580927364
EnBW He Dreiht,54.212,6.255,63.0,Germany,2026.0,960.0,Vestas V236-15.0 MW,Monopile,38.0,90.0,EUR 2.4 billion,,,,,,,,,0.59,,,25.0,Unknown,9.982614927485114,9.0,2400000000.0,2400000000.0,recent,2500000.0,2500000.0,5168.4,4393.139999999999,4217414.399999999,80000.0,76800000.0,0.0858105172206656,205945241.32959744,205945241.32959744,67.0423189453703,67.0423189453703
Windanker,54.85,13.91,18.0,Germany,2026.0,315.0,Siemens Gamesa SG 14-236 DD,Monopile,43.5,38.0,EUR 1 billion,,,,,,,,,0.5,,,25.0,Unknown,9.249518998681355,9.0,1000000000.0,1000000000.0,recent,3174603.1746031744,3174603.1746031744,4380.0,3723.0,1172745.0,70000.0,22050000.0,0.0858105172206656,85810517.2206656,85810517.2206656,91.97269416681854,91.97269416681854
Nordlicht 1,54.21,6.12,115.0,Germany,2028.0,980.0,Vestas V236-15.0 MW,Monopile,38.0,96.0,EUR 5 billion (combined 1+2),,,,,,,,,0.59,,,25.0,Unknown,9.978520235542192,9.0,2666666666.6666665,2666666666.6666665,recent,2721088.4353741496,2721088.4353741496,5168.4,4393.139999999999,4305277.199999999,80000.0,78400000.0,0.0858105172206656,228828045.92177492,228828045.92177492,71.36080480991444,71.36080480991444
Middelgrunden,55.69,12.666,1.0,Denmark,2000.0,40.0,Bonus 2MW,Gravity-based,3.0,2.0,EUR 48 million,,,,,,,,,0.5,,,25.0,Unknown,8.8538817659472,9.0,48000000.0,80324069.48899321,indexed_26y,2008101.7372248303,2008101.7372248303,4380.0,3723.0,148920.0,70000.0,2800000.0,0.0858105172206656,4118904.826591949,6892649.948119192,46.460548123770806,65.08628759145309
Horns Rev 1,55.475,7.842,20.0,Denmark,2002.0,160.0,Vestas V80-2.0MW,Monopile,14.0,17.0,DKK 2 billion,,,,,,,,,0.55,,,25.0,Unknown,9.482484585239177,9.0,260000000.0,418193684.86355877,indexed_24y,2613710.5303972424,2613710.5303972424,4818.0,4095.2999999999997,655248.0,70000.0,11200000.0,0.0858105172206656,22310734.477373056,35885416.39655801,51.14206297062037,71.85892424938041
Nysted (Rodsand I),54.55,11.715,26.0,Denmark,2003.0,165.6,Siemens SWT-2.3-82,Gravity-based,6.0,10.0,DKK 1600 million,,,,,,,,,0.55,,,25.0,Unknown,9.472096302928305,9.0,208000000.0,327995046.95181084,indexed_23y,1980646.4187911283,1980646.4187911283,4818.0,4095.2999999999997,678181.6799999999,70000.0,11592000.0,0.0858105172206656,17848587.581898443,28145424.624751385,43.41106292033493,58.59406969641438
Horns Rev 2,55.6,7.585,33.0,Denmark,2009.0,209.0,Siemens SWT-2.3-93,Monopile,10.0,32.0,USD 1 billion,,,,,,,,,0.55,,,25.0,Unknown,9.5385940462287,9.0,850000000.0,1190205206.3135612,indexed_17y,5694761.752696465,5694761.752696465,4818.0,4095.2999999999997,855917.7,70000.0,14630000.0,0.0858105172206656,72938939.63756576,102132124.3524957,102.30999970857685,136.41746671729737
Rodsand II,54.558,11.545,34.0,Denmark,2010.0,207.0,Siemens SWT-2.3-93,Gravity-based,13.0,8.0,EUR 450 million,,,,,,,,,0.55,,,25.0,Unknown,9.347863758461191,9.0,450000000.0,617753567.2907757,indexed_16y,2984316.750196984,2984316.750196984,4818.0,4095.2999999999997,847727.1,70000.0,14490000.0,0.0858105172206656,38614732.74929952,53009753.12413271,62.64366533675698,79.62438988223063
Anholt,56.598,11.205,88.0,Denmark,2013.0,400.0,Siemens SWP-3.6-120,Monopile,17.0,15.0,DKK 10 billion,,,,,,,,,0.5,,,25.0,Unknown,9.209158523386058,9.0,1300000000.0,1681688619.5899355,indexed_13y,4204221.548974839,4204221.548974839,4380.0,3723.0,1489200.0,70000.0,28000000.0,0.0858105172206656,111553672.38686527,144306570.25111952,93.7104971708738,115.704116472683
Horns Rev 3,55.705,7.68,44.0,Denmark,2019.0,407.0,MHI Vestas V164-8.3MW,Monopile,19.0,27.5,GBP 1 billion,,,,,,,,,0.55,,,25.0,Unknown,9.526989995053569,9.0,1150000000.0,1320988517.796672,indexed_7y,3245672.0338984574,3245672.0338984574,4818.0,4095.2999999999997,1666787.0999999999,70000.0,28490000.0,0.0858105172206656,98682094.80376545,113354707.95469286,76.29774360730622,85.10067539801145
Kriegers Flak,55.02,12.82,132.0,Denmark,2021.0,605.0,Siemens Gamesa SG 8.4-167 DD,Monopile,20.0,27.5,EUR 1.3 billion,,,,,,,,,0.55,,,25.0,Unknown,9.445088195522231,9.0,1300000000.0,1300000000.0,recent,2148760.3305785125,2148760.3305785125,4818.0,4095.2999999999997,2477656.5,70000.0,42350000.0,0.0858105172206656,111553672.38686527,111553672.38686527,62.1166301248237,62.1166301248237
Vesterhav Nord,56.618,8.046,15.0,Denmark,2024.0,176.0,Siemens Gamesa SG 8.0-167 DD,Monopile,20.0,673.3333333333334,EUR 769 million (combined N+S),,,,,,,,,0.59,,,25.0,Unknown,9.833853726537294,9.0,769000000.0,769000000.0,recent,4369318.181818182,4369318.181818182,5168.4,4393.139999999999,773192.6399999999,90000.0,15840000.0,0.0858105172206656,65988287.742691845,65988287.742691845,105.83169511635788,105.83169511635788
